"contrast","angle_type","estimate","SE","df","t.ratio","p.value"
"genotype1 - genotype3","NN2",-0.949398090833411,1.96246359018813,8442,-0.4837787032484,0.9997302916813
"genotype1 - genotype4","NN2",1.16558159469007,2.00708756576081,8442,0.580732806367738,0.999100280643756
"genotype1 - genotype6","NN2",3.80362031676369,2.20027179622655,8442,1.72870475515201,0.668381788733689
"genotype1 - genotype7","NN2",1.94712811785136,2.09444690495599,8442,0.929662200194219,0.983246238620165
"genotype1 - genotype8","NN2",3.76584439206152,2.00878805831451,8442,1.87468477646232,0.568488865117188
"genotype1 - genotype9","NN2",3.14439004369824,2.34569171777876,8442,1.34049586306073,0.883379591216628
"genotype2 - genotype3","NN2",-2.66989996842095,2.36830555543428,8442,-1.12734607335385,0.95098078218214
"genotype2 - genotype4","NN2",-0.554920282897476,2.4054123051399,8442,-0.230696534524131,0.999998276465287
"genotype2 - genotype6","NN2",2.08311843917615,2.56881370253992,8442,0.810926240823328,0.992570929670183
"genotype2 - genotype7","NN2",0.226626240263819,2.47877302284145,8442,0.0914267817890134,0.999999997265767
"genotype2 - genotype8","NN2",2.04534251447397,2.40683138676431,8442,0.849807147156946,0.990142417949176
"genotype2 - genotype9","NN2",1.4238881661107,2.69441598420561,8442,0.528458921880433,0.999515432483572
"genotype3 - genotype4","NN2",2.11497968552348,2.19271714107499,8442,0.964547431086619,0.979279964648426
"genotype3 - genotype6","NN2",4.7530184075971,2.37082347326883,8442,2.00479641828574,0.478557645132791
"genotype3 - genotype7","NN2",2.89652620868477,2.27295310154261,8442,1.27434490694901,0.908452563081449
"genotype3 - genotype8","NN2",4.71524248289493,2.1942737813134,8442,2.14888521343612,0.383421203568652
"genotype3 - genotype9","NN2",4.09378813453166,2.50636741101306,8442,1.63335515636831,0.730037923607219
"genotype4 - genotype6","NN2",2.63803872207363,2.40789142097812,8442,1.09558043153043,0.957922736596652
"genotype4 - genotype7","NN2",0.781546523161295,2.31159100094064,8442,0.338098964238598,0.99997605665047
"genotype4 - genotype8","NN2",2.60026279737145,2.23427271862165,8442,1.16380725401131,0.94206686769587
"genotype4 - genotype9","NN2",1.97880844900818,2.54145917787515,8442,0.778611148365014,0.994206875788494
"genotype6 - genotype7","NN2",-1.85649219891233,2.48117884004119,8442,-0.74822990142924,0.995470481224386
"genotype6 - genotype8","NN2",-0.0377759247021761,2.40930904240518,8442,-0.0156791528348164,1
"genotype6 - genotype9","NN2",-0.659230273065449,2.69662942085935,8442,-0.24446454079529,0.999997426181039
"genotype7 - genotype8","NN2",1.81871627421016,2.31306764324459,8442,0.786278896564824,0.993847452814794
"genotype7 - genotype9","NN2",1.19726192584688,2.6110002094703,8442,0.458545319722427,0.99981143171432
"genotype8 - genotype9","NN2",-0.621454348363272,2.54280233588873,8442,-0.2443974270403,0.999997431061902
