Colony,slide_id,Sample,NN_level,mean_distance,sd_distance,n,se_distance
SC1,1SG1T5,T5,8,2.7603625177806475,0.3257999544082234,97,0.03307997343090976
SC10,1SG10T1,T1,1,1.248199805339674,0.25528368911461047,134,0.022053151859203993
SC10,1SG10T1,T1,2,1.4291137325845942,0.239035917111142,134,0.020649558137219873
SC10,1SG10T1,T1,3,1.5976739883890265,0.24949885912791583,134,0.02155341866191782
SC10,1SG10T1,T1,4,1.769250892047589,0.2728734985073634,134,0.023572679953843365
SC10,1SG10T1,T1,5,2.0108923673703405,0.35354519631947134,134,0.030541653211635458
SC10,1SG10T1,T1,6,2.2596965412389847,0.3807218760820389,134,0.03288936076753726
SC10,1SG10T1,T1,7,2.505817550157096,0.3591649741912907,134,0.03102712807786001
SC10,1SG10T1,T1,8,2.705939666941789,0.37744811179772536,134,0.03260655060773582
SC10,1SG10T2,T2,1,1.1898648512294667,0.3233266780115457,119,0.029639307978230837
SC10,1SG10T2,T2,2,1.4845977733592548,0.2775982699241293,119,0.025447391681708103
SC10,1SG10T2,T2,3,1.6756102862814826,0.292187494713198,119,0.026784783725402706
SC10,1SG10T2,T2,4,1.901590710865728,0.3534484134830353,119,0.03240056294169043
SC10,1SG10T2,T2,5,2.1020326165941503,0.37652276942926444,119,0.03451578568327065
SC10,1SG10T2,T2,6,2.344466746405499,0.43575763587119076,119,0.03994583698716872
SC10,1SG10T2,T2,7,2.553846414056283,0.429886476776153,119,0.039407628715345255
SC10,1SG10T2,T2,8,2.7484585432790287,0.4334398619514625,119,0.03973336700030211
SC10,1SG10T3,T3,1,1.245907443716006,0.23866082611758865,102,0.02363094305851137
SC10,1SG10T3,T3,2,1.4342723440982321,0.24397394245520906,102,0.02415701996723578
SC10,1SG10T3,T3,3,1.6368219071418282,0.28741938059939637,102,0.028458759350436996
SC10,1SG10T3,T3,4,1.8869840377124765,0.328568259309722,102,0.032533105465564406
SC10,1SG10T3,T3,5,2.107465494505997,0.35081861025395455,102,0.034736218497344463
SC10,1SG10T3,T3,6,2.3270592820672396,0.38336403538981667,102,0.03795869577068498
SC10,1SG10T3,T3,7,2.54267318588072,0.3977288662431101,102,0.039381025968151386
SC10,1SG10T3,T3,8,2.765501952271462,0.3777025561277062,102,0.03739812579258577
SC10,1SG10T4,T4,1,1.1709666801425442,0.2555751194800241,98,0.02581698572669816
SC10,1SG10T4,T4,2,1.38968381595492,0.2218322474523138,98,0.022408440922769047
SC10,1SG10T4,T4,3,1.5608213305843148,0.22705628982729942,98,0.022936148892563075
SC10,1SG10T4,T4,4,1.7872927688256968,0.3379945611061483,98,0.03414260659461834
SC10,1SG10T4,T4,5,2.016190060363058,0.35586239613278836,98,0.035947530496398296
SC10,1SG10T4,T4,6,2.258922458892676,0.3873686276945052,98,0.03913014049453024
SC10,1SG10T4,T4,7,2.5149655412968803,0.40804110846539443,98,0.04121837639982228
SC10,1SG10T4,T4,8,2.692092803128248,0.38757872487799017,98,0.039151363514980296
SC10,1SG10T5,T5,1,1.1822702323251464,0.2888509057863489,99,0.029030608328715662
SC10,1SG10T5,T5,2,1.4453991558225139,0.2579558721665004,99,0.025925540619550415
SC10,1SG10T5,T5,3,1.6028124105096653,0.2635892655198498,99,0.02649171795438502
SC10,1SG10T5,T5,4,1.8097167762620834,0.3089498903624247,99,0.031050632283442445
SC10,1SG10T5,T5,5,2.04755848376672,0.34422679800416106,99,0.03459609490197761
SC10,1SG10T5,T5,6,2.2693175853094005,0.38346118390274814,99,0.03853929905063289
SC10,1SG10T5,T5,7,2.4902461560315117,0.4077592395469948,99,0.040981345526606934
SC10,1SG10T5,T5,8,2.692798515395243,0.3652414808632792,99,0.036708149996886943
SC2,1SG2T1,T1,1,1.4150693183714884,0.2730932566942019,65,0.033873049612167916
SC2,1SG2T1,T1,2,1.6708727874035645,0.21593392042423837,65,0.026783306508627668
SC2,1SG2T1,T1,3,1.899077630841436,0.2265560868401563,65,0.02810082410078845
SC2,1SG2T1,T1,4,2.1668472096256757,0.31249446008218484,65,0.0387601674168918
SC2,1SG2T1,T1,5,2.527860949686385,0.42111866851716756,65,0.05223334228008774
SC2,1SG2T1,T1,6,2.8598882982735914,0.4218066663890586,65,0.05231867791352569
SC2,1SG2T1,T1,7,3.151390066033327,0.40510167770849603,65,0.05024667907621637
SC2,1SG2T1,T1,8,3.3775357828468136,0.42654042973047285,65,0.052905828993186126
SC2,1SG2T2,T2,1,1.371787999811614,0.23464619127867073,57,0.031079647281067286
SC2,1SG2T2,T2,2,1.669168818660527,0.2370604423082017,57,0.031399422641736424
SC2,1SG2T2,T2,3,1.940875764453837,0.33698481318039913,57,0.04463472888969575
SC2,1SG2T2,T2,4,2.2493196640690964,0.4171636028531024,57,0.055254669016876555
SC2,1SG2T2,T2,5,2.521794291147652,0.5067923792751367,57,0.06712629046638983
SC2,1SG2T2,T2,6,2.855013195396613,0.5532153363251504,57,0.07327516133872825
SC2,1SG2T2,T2,7,3.134964125177705,0.5950612892379504,57,0.07881779320325062
SC2,1SG2T2,T2,8,3.440434725592598,0.5862685873918496,57,0.07765317139313202
SC2,1SG2T3,T3,1,1.3605725805041,0.31182300038416977,77,0.03553552887715389
SC2,1SG2T3,T3,2,1.6338686318295235,0.25541232106029693,77,0.029106935342925563
SC2,1SG2T3,T3,3,1.8996204208000824,0.27252114122891985,77,0.03105666635188611
SC2,1SG2T3,T3,4,2.1473485626767608,0.3483367584586824,77,0.03969665779603311
SC2,1SG2T3,T3,5,2.451049381737409,0.397860259762281,77,0.045340384552890835
SC2,1SG2T3,T3,6,2.7529978559969455,0.42228042578115005,77,0.048123320749641214
SC2,1SG2T3,T3,7,3.0165269389574316,0.4291973684106474,77,0.04891157951903698
SC2,1SG2T3,T3,8,3.284734482358395,0.4484523343872469,77,0.05110588654144097
SC2,1SG2T4,T4,1,1.2712805306299761,0.29276508640160787,69,0.03524477468018649
SC2,1SG2T4,T4,2,1.525897643834103,0.19344226059732786,69,0.023287711564848993
SC2,1SG2T4,T4,3,1.771906632972175,0.2617880769676477,69,0.03151558097343328
SC2,1SG2T4,T4,4,1.9938900850333037,0.3648427072964952,69,0.04392190056001017
SC2,1SG2T4,T4,5,2.2510252867792855,0.37657323148120553,69,0.04533408972112977
SC2,1SG2T4,T4,6,2.5463440498090115,0.43299629414779195,69,0.052126628253958585
SC2,1SG2T4,T4,7,2.7708657293765833,0.4347199849711543,69,0.05233413624418518
SC2,1SG2T4,T4,8,3.030993099001461,0.47668177973704223,69,0.05738574270408656
SC2,1SG2T5,T5,1,1.3316032257031305,0.24863332498811744,28,0.046987281825832866
SC2,1SG2T5,T5,2,1.6001298319838624,0.3685944672419209,28,0.06965780678260475
SC2,1SG2T5,T5,3,1.816532873419924,0.35581023973257164,28,0.06724181487590412
SC2,1SG2T5,T5,4,2.423689693209269,0.4863536339213594,28,0.09191219747060461
SC2,1SG2T5,T5,5,2.686018725309898,0.5874921078400431,28,0.11102557246842099
SC2,1SG2T5,T5,6,3.112868349195302,0.6154448633114121,28,0.11630814671386688
SC2,1SG2T5,T5,7,3.4536549291729974,0.643990134282376,28,0.12170269586358984
SC2,1SG2T5,T5,8,3.8244719552836104,0.6877995122120099,28,0.12998189008460792
SC3,1SG3T1,T1,1,1.449370876925949,0.2857163112848259,84,0.031174205327292384
SC3,1SG3T1,T1,2,1.732530811169771,0.1977826915606216,84,0.02157986083877743
SC3,1SG3T1,T1,3,1.9043418812047708,0.241340298472685,84,0.02633238538081701
SC3,1SG3T1,T1,4,2.148834714833205,0.3303524367381967,84,0.03604440588966421
SC3,1SG3T1,T1,5,2.423261122270582,0.38721528346963063,84,0.04224865111293727
SC3,1SG3T1,T1,6,2.72190233993331,0.4171361336030497,84,0.045513283508028274
SC3,1SG3T1,T1,7,3.0363763641037944,0.40565407894900696,84,0.044260488636938496
SC3,1SG3T1,T1,8,3.2743478086169864,0.4304816761022267,84,0.04696940157214087
SC3,1SG3T2,T2,1,1.4307880669026594,0.34134139740789876,92,0.03558730073696556
SC3,1SG3T2,T2,2,1.7500934002490194,0.23055330587985554,92,0.024036843742229804
SC3,1SG3T2,T2,3,2.0052415700336508,0.26021186444115174,92,0.027128962222322865
SC3,1SG3T2,T2,4,2.242803222723132,0.3019227332546894,92,0.03147762090755602
SC3,1SG3T2,T2,5,2.5393338693887713,0.39858853734399763,92,0.04155572765707507
SC3,1SG3T2,T2,6,2.789983875584731,0.3963338180710788,92,0.041320656923047136
SC3,1SG3T2,T2,7,3.0574658342496814,0.35294161894198894,92,0.03679670743502209
SC3,1SG3T2,T2,8,3.3487193193864493,0.40054322899415856,92,0.04175951834912285
SC3,1SG3T3,T3,1,1.2877284393830464,0.30190884145183516,95,0.030975193563269193
SC3,1SG3T3,T3,2,1.5612263318733701,0.2146970367530908,95,0.022027451196550186
SC3,1SG3T3,T3,3,1.8171038032399145,0.2686964703517115,95,0.027567676186254646
SC3,1SG3T3,T3,4,2.068662201805087,0.2984771001130505,95,0.030623104330914315
SC3,1SG3T3,T3,5,2.3670716170335484,0.3792741842227176,95,0.0389127102517265
SC3,1SG3T3,T3,6,2.5974516850271936,0.38348559012367106,95,0.039344791380348694
SC3,1SG3T3,T3,7,2.8361256825364545,0.36265383187392664,95,0.037207498080337784
SC3,1SG3T3,T3,8,3.052438503308671,0.3807074026915807,95,0.03905975536401272
SC3,1SG3T4,T4,1,1.4262067202112543,0.2223560986457946,74,0.025848371427861373
SC3,1SG3T4,T4,2,1.6565762328170968,0.19190379900488044,74,0.02230836350028585
SC3,1SG3T4,T4,3,1.8459270609718743,0.2160725991278641,74,0.025117929445854028
SC3,1SG3T4,T4,4,2.102106735555861,0.35211727565691114,74,0.04093280185602244
SC3,1SG3T4,T4,5,2.3480834789993943,0.37377322198111224,74,0.043450254480973706
SC3,1SG3T4,T4,6,2.606561153709995,0.38393807040379346,74,0.044631894108299236
SC3,1SG3T4,T4,7,2.90758528049652,0.3777154680506728,74,0.043908531277907226
SC3,1SG3T4,T4,8,3.1781888287511992,0.4013800980612342,74,0.04665948863838111
SC3,1SG3T5,T5,1,1.333519846601304,0.33266580921740474,76,0.03815938537762759
SC3,1SG3T5,T5,2,1.65024668673324,0.2770244055467238,76,0.03177687864927888
SC3,1SG3T5,T5,3,1.9068644078143395,0.24187515197193138,76,0.027744982747347144
SC3,1SG3T5,T5,4,2.1748741038649513,0.3288181139370001,76,0.037718024459395434
SC3,1SG3T5,T5,5,2.4394483142018473,0.3836008121701587,76,0.044002030918680234
SC3,1SG3T5,T5,6,2.7207684477701184,0.43209344234330016,76,0.049564517087922734
SC3,1SG3T5,T5,7,2.9564336755081984,0.4394162961370884,76,0.050404506026487106
SC3,1SG3T5,T5,8,3.2052456950909876,0.44126578950892936,76,0.050616657466081925
SC4,1SG4T1,T1,1,1.3484133897761472,0.31702374717137083,93,0.032873831189914285
SC4,1SG4T1,T1,2,1.6582621429598554,0.3085487799346446,93,0.031995018026023475
SC4,1SG4T1,T1,3,1.8975965719526868,0.35441778786241784,93,0.036751412576654256
SC4,1SG4T1,T1,4,2.1708530324803204,0.4214621526680416,93,0.0437035893473859
SC4,1SG4T1,T1,5,2.437312670970649,0.49899789450743437,93,0.0517436712376398
SC4,1SG4T1,T1,6,2.7398831547414884,0.5290260983647604,93,0.0548574509255963
