genotype_plot,Replicate,L_area,k_area,t0_area,L_poly,k_poly,t0_poly,t0_lag
SC7,1,182.637946928991,0.075289638313298,44.3849384538579,64.8301980266884,0.0549903843751602,56.3481552833327,11.963216829474803
SC7,2,144.332301822152,0.0410730091509349,51.2706857181655,66.3330225215119,0.0364372385120675,79.7273803937935,28.456694675627993
SC7,3,142.890885540785,0.047057141324709,48.0777665564354,69.4866120538712,0.0424529535220939,67.8038873236981,19.726120767262707
SC7,4,109.550048139479,0.0515147448978107,51.3798204122116,55.5658206216997,0.0522430124839202,71.1189136776827,19.739093265471098
SC7,5,246.374507667067,0.0978313259999314,46.1775024288736,89.1602895371201,0.0542543670420937,56.1121221373198,9.9346197084462
SC8,1,121.626534189666,0.046826293079924,54.992898018327,62.3919358721175,0.0399821757600598,87.2178725286178,32.22497451029081
SC8,2,204.817452113528,0.0453427759939193,47.5810932241752,84.9726818848073,0.0414340888091886,67.1971612195673,19.616067995392108
SC8,3,158.718732959612,0.0512037627893267,52.3314617297651,80.7219811479448,0.042347106060232,72.2351320375424,19.903670307777297
SC8,4,232.265577546099,0.0400764347604525,54.6228400835089,103.647383778691,0.0355771917652778,74.2698365134828,19.646996429973903
SC8,5,144.072280801221,0.0568687347691781,40.243863547598004,64.0468476518693,0.034957181574024,61.3838372649585,21.139973717360498
SC9,1,91.0584003009057,0.0939503180763387,31.9281692409549,38.1164503355499,0.0534033515791892,55.9414604763067,24.0132912353518
SC9,2,62.254458232944,0.0547999828771936,48.2865508840867,34.8361238508151,0.0670208405697573,67.6123901411359,19.325839257049203
SC9,3,132.598894146736,0.0538285105639595,31.5993760441812,56.6885340369012,0.0457927749245071,54.9748640809343,23.375488036753104
SC9,4,175.269801953026,0.0676601159483947,36.8497285137448,73.0655001731984,0.0465586826646564,52.6235424806227,15.773813966877903
SC9,5,83.6573176877479,0.117213348601315,29.1051412920123,41.8408486591985,0.0448430929044598,43.2176971205706,14.1125558285583
SC10,1,312.735097574609,0.0480636231922403,52.290355921828,137.644468285747,0.0413751287560282,65.7928181709296,13.502462249101605
SC10,2,290.580988399758,0.0576674011168184,48.6200159704819,117.032628432111,0.0453512500173907,59.1984826467596,10.5784666762777
SC10,3,241.247405224014,0.0495674485291885,51.3520211789373,104.326253704466,0.0401803628039581,64.9651494709354,13.613128291998102
SC10,4,213.888778213556,0.051628971021097,53.8577050810469,100.181092834603,0.041683712245238,71.7542042106509,17.896499129603995
SC10,5,224.945364838749,0.0482659667903863,45.6682462055663,100.751961628794,0.0399454910940981,59.5418569546579,13.873610749091604
