"Sample","Genotype","Replicate","L","L_SE","k","k_SE","x0","x0_SE","R2","RMSE"
"1SG4T5",4,5,64.430659924039,2.07489627005833,0.0306201829393625,0.00263630644414995,68.4828154071312,1.80492206802991,0.990732879136617,2.10270456021416
"1SG6T1",6,1,67.4192779831704,0.965356180458292,0.0521468836126237,0.00369934356612219,52.6633887032422,0.924439103414861,0.99245954643088,2.1154734367862
"1SG6T2",6,2,48.7898851673343,0.302515667729208,0.0638469122831167,0.00226996281308933,51.8087873548181,0.399353171572799,0.998242124953815,0.752890493514886
"1SG6T3",6,3,14.1932645525955,0.336552993395777,0.0452551945715984,0.00411243605986488,67.7159710679537,1.3417275235511,0.990199852194347,0.545615667490951
"1SG6T4",6,4,87.0010989217653,0.90517578095819,0.0572141469178282,0.00324361974312825,48.687759033129,0.694406234978244,0.99488914262846,2.18063393316731
"1SG6T5",6,5,76.6499443796215,0.856943987137295,0.0459679995421092,0.00229245729847504,53.8661819851449,0.70993762138231,0.996070649633804,1.68105739121597
"1SG7T1",7,1,64.8301980266884,1.11574032654082,0.0549903843751602,0.00474953227925564,56.3481552833327,1.07601100028257,0.98981937630161,2.44016307052268
"1SG7T2",7,2,66.3330225215119,1.73163679265248,0.0364372385120675,0.00263656426780615,79.7273803937935,1.32149073308727,0.99444277791579,1.81144042910732
"1SG7T3",7,3,69.4866120538712,0.995489568245679,0.0424529535220939,0.00219867656805577,67.8038873236981,0.806265039860095,0.996656153296545,1.51281164743582
"1SG7T4",7,4,55.5658206216997,0.574754552325128,0.0522430124839202,0.00226200999346617,71.1189136776827,0.576872538327127,0.997943508185151,1.01223092358708
"1SG7T5",7,5,89.1602895371201,0.893115611520137,0.0542543670420937,0.00270316301013325,56.1121221373198,0.62763563142953,0.996574605013024,1.94065726584171
"1SG8T1",8,1,62.3919358721175,2.01480230326991,0.0399821757600598,0.00363934916368938,87.2178725286178,1.49316374794153,0.992589902801415,2.03907430272973
"1SG8T2",8,2,84.9726818848073,1.15057764331654,0.0414340888091886,0.00199692571256538,67.1971612195673,0.764461359128427,0.997089771971568,1.72019800132346
"1SG8T3",8,3,80.7219811479448,1.42638820823761,0.042347106060232,0.00257459039149996,72.2351320375424,0.959054791208172,0.995761369186817,2.02316060918093
"1SG8T4",8,4,103.647383778691,2.29528332167434,0.0355771917652778,0.00226113228971982,74.2698365134828,1.17736553464046,0.995278631143919,2.57034490091504
"1SG8T5",8,5,64.0468476518693,1.22614728731661,0.034957181574024,0.00218627183150514,61.3838372649585,1.11559215159452,0.994360807303067,1.64386203652603
"1SG9T1",9,1,38.1164503355499,0.49163912843232,0.0534033515791892,0.00338806670083414,55.9414604763067,0.809396267091862,0.994369611874439,1.05875489430079
"1SG9T2",9,2,34.8361238508151,0.382382415700996,0.0670208405697573,0.00392480779523144,67.6123901411359,0.624989283490212,0.996723169305143,0.835024551625545
"1SG9T3",9,3,56.6885340369012,0.904932278172978,0.0457927749245071,0.00321395449671433,54.9748640809343,1.00366882821249,0.992453959385084,1.747854906811
"1SG9T4",9,4,73.0655001731984,0.774314097970955,0.0465586826646564,0.00225172480325861,52.6235424806227,0.681089256279833,0.99625376589087,1.5558566377679
"1SG9T5",9,5,41.8408486591985,0.53495773805987,0.0448430929044598,0.00288036627375807,43.2176971205706,0.913897954338002,0.992291115862999,1.13548530928439
"1SG10T1",10,1,137.644468285747,2.18764076947809,0.0413751287560282,0.00237258999117259,65.7928181709296,0.907295125116551,0.995755582813678,3.33346340206346
"1SG10T2",10,2,117.032628432111,1.24172171761225,0.0453512500173907,0.00201288719530945,59.1984826467596,0.643266974268174,0.997217816657598,2.26122969710603
"1SG10T3",10,3,104.326253704466,1.57803201515805,0.0401803628039581,0.00215464023787797,64.9651494709354,0.867362051215061,0.996201199925416,2.35939991164936
"1SG10T4",10,4,100.181092834603,1.28359397067529,0.041683712245238,0.00182080383196068,71.7542042106509,0.697398899856497,0.99777501236149,1.80321610079269
"1SG10T5",10,5,100.751961628794,0.887869563438877,0.0399454910940981,0.00131724430012618,59.5418569546579,0.526672591363051,0.99840606160573,1.42185139389435
