genotype,replica,day,dist_perimeter,dist_nubbin,nubbin_perimeter_ratio
10,1,53,0.7921354554155052,3.259730371991291,4.115117370022831
10,1,53,3.4693041134813867,0.6299176629755462,0.18156888020503764
10,1,53,0.7963848538321234,3.2992484193015574,4.14278147484336
10,1,53,2.0306456868412273,2.7313324662538387,1.345056148373459
10,1,53,2.056051871384232,2.768918905122914,1.3467164635582594
10,1,53,0.43239550238724395,3.16134113152091,7.311225750654738
10,1,53,2.4926138821962724,1.3845247259299793,0.5554509408051831
10,1,53,1.381614859396855,2.6240613798053505,1.899271249117056
10,1,53,0.5484519755430243,3.3887681071116584,6.1787873108788185
10,1,53,0.9077173161084101,3.2432302266712845,3.5729518090232624
10,1,53,1.9532782039080514,2.5819476065037654,1.3218534878123833
10,1,53,1.6868966285981941,2.7942025617014323,1.6564159974778099
10,1,60,1.1445479429321135,4.404254939147472,3.848030103365186
10,1,60,1.758293502695037,3.7780197125567385,2.1486854764383487
10,1,60,1.1252256646155887,3.6511103311371405,3.244780532431662
10,1,60,0.6227114837398798,4.250636901857984,6.826013351045839
10,1,60,0.5235218785337037,4.554277942892795,8.699307764650749
10,1,60,0.6116477344801899,4.436207710171958,7.252880146678019
10,1,60,1.151951220407799,3.6299850362088337,3.1511621081696433
10,1,60,0.4595036501330049,3.2404034331847433,7.051964510503447
10,1,60,0.9724642987125519,2.4234736636235223,2.4920952541208616
10,1,60,2.2280739779487617,2.2509556127189585,1.0102696925670585
10,1,60,1.0673659733758625,3.584386605335867,3.3581608321269396
10,1,60,4.975072858911422,0.13131900603370025,0.0263953935465447
10,1,60,1.6056214848268844,3.4792996011389943,2.1669488319746337
10,1,60,0.6476758037481437,4.452591944355341,6.874723308463724
10,1,60,1.4175183720089488,4.034546772326541,2.8462042199909288
10,1,60,1.8423483915210421,3.370097728409849,1.8292401936137048
10,1,60,0.9625491998510596,4.252522426866352,4.417979286175052
10,1,60,0.8986419965051581,4.2203690691213085,4.696385307535629
10,1,60,0.7261013666347831,4.397735820345248,6.056641706552848
10,1,60,0.5593782957527346,4.360814614330826,7.795823769784703
10,1,60,0.3234108802620708,5.372312290488805,16.611414823568825
10,1,67,0.5980302376692982,5.116075195190025,8.554877116463029
10,1,67,0.7798076339108586,4.58678543119764,5.881944766549906
10,1,67,0.9560230534358803,3.9986020548193513,4.182537272975431
10,1,67,1.1680005496151598,4.690596220709484,4.015919532105504
10,1,67,0.43454003193705537,5.188029428113689,11.939128841563653
10,1,67,0.5280073726277651,4.918496877961476,9.315204925043576
10,1,75,1.3543247193563823,6.020312621977635,4.445250489733863
10,1,75,1.5561496770553935,5.678231772934624,3.64889821117927
10,1,75,1.0922966698425232,5.099835692952572,4.668910776490619
10,1,75,0.9647225081987795,4.688545046565952,4.859993424761979
10,1,75,0.7402847810630744,4.5047381601949485,6.08514219855498
10,1,75,0.2886161736914506,4.567782274653968,15.826494462286178
10,1,75,0.6466748810833659,4.1823086737440045,6.467405486258316
10,1,75,0.7140573622270816,3.953334909171971,5.536438832927749
