Colony,Colony_Number,Sample,Slide,Polyp_ID,X,Y,NN1_Distance,NN2_Distance,NN3_Distance,NN4_Distance,NN5_Distance,NN6_Distance,NN7_Distance,NN8_Distance
SC1,1,T1,1SG1T1,53,21.12915053847749,21.631721893645153,0.7909236645002916,1.6441679231235655,1.7088416688002173,1.7581714260548102,2.013702766808451,2.094392167143696,2.5964593697160243,2.8465092208065994
SC1,1,T1,1SG1T1,54,22.742085504665777,20.295713156907233,1.5562156099423734,1.6870124461767062,1.8242517330143146,2.094392167143696,2.2789558994000068,2.8838835365473723,2.884796679038733,2.9535086294921626
SC1,1,T1,1SG1T1,55,24.14205348951975,19.354383971691444,1.6870124461767062,1.7106661018368994,1.7419097895613984,2.994048287587366,3.1592394124054968,3.207709526170385,3.2585852092389613,3.7767515410955483
SC1,1,T1,1SG1T1,56,23.85682087888348,17.635985859262473,1.4470812477890582,1.5755811057040632,1.7419097895613984,2.1862180271670204,2.378199922840929,2.8838835365473723,3.0481876366619254,3.089367937330673
SC1,1,T1,1SG1T1,57,17.898290022608045,23.866599248687606,1.6041441692788632,1.7798290709482913,2.3274959613793036,2.521305482538608,2.635758826554077,2.96333695051718,3.145814970125385,3.287488745004436
SC1,1,T1,1SG1T1,58,14.9770501788139,23.368880796819457,1.5359138090552278,1.7440691774566337,2.073266420803488,2.299921915512799,2.96333695051718,3.0754899726001192,3.191826300253595,3.6134878267899695
SC1,1,T1,1SG1T1,59,17.404574855914856,6.495098460542831,1.3932026431680642,1.5950565598598936,1.7707389519039052,2.1635246990672186,2.3729910791432016,2.5071570057203574,3.0561421371767947,3.14810802510402
SC1,1,T1,1SG1T1,60,20.37184506621192,7.226748829032557,0.5521338605745354,1.1632347955611646,1.995773277324543,2.000769416374705,2.0031018555104887,2.315233866226495,2.47061172879761,3.0561421371767947
SC1,1,T1,1SG1T1,61,19.85104071381504,7.043405908478194,0.5521338605745354,1.479142515129066,1.6040961353218743,1.6973202526557487,2.228776570998971,2.5071570057203574,2.865457036830574,2.9495195212393046
SC1,1,T1,1SG1T1,62,24.168010364294588,15.278233544626737,1.510390831164326,1.5469298572511216,2.08624309250549,2.378199922840929,2.713763874716873,2.9543761411949063,3.1730157956783,3.31060994104728
SC1,1,T1,1SG1T1,63,10.125392016969387,9.473316382890332,1.0318760509550522,1.5276058423335208,1.5293406651676678,1.86246749412953,1.8666063011143317,2.098238567086798,2.6345009224691855,2.806820000817365
SC1,1,T1,1SG1T1,64,13.45242847389085,7.306957105261882,0.9015264528695482,1.2933738423212413,1.5096052648097424,2.0054866018749395,2.100830172981064,2.321416270648447,2.7086344191796097,3.0537975928235643
SC1,1,T1,1SG1T1,65,12.632623111150757,7.682015917244929,0.9015264528695482,1.36589590533249,1.43387639347128,1.641534531537381,2.116080220103259,2.623094592573887,2.8325621479094907,2.8563578317146643
SC1,1,T1,1SG1T1,66,20.180110993798145,23.407763215148353,1.2975718141696273,1.7849183061082936,1.8535370055656504,2.013702766808451,2.3274959613793036,2.9461644355685683,3.4699609340578745,3.5714954008686655
SC1,1,T1,1SG1T1,67,13.407077028853893,22.60930091019863,1.5086946947591486,1.7440691774566337,1.9188240350496844,2.830164240658823,3.031297540501225,3.160322581806066,3.5877408775523696,4.117719071530953
SC1,1,T1,1SG1T1,68,20.637208564542263,15.69043076427247,0.6887529493936934,0.878208369001138,1.9072343913867962,2.479021570286094,2.4952330059903094,2.6656259328180343,3.000648258570192,3.121713531105873
SC1,1,T1,1SG1T1,69,22.617440069369287,7.790318644686975,1.3265480851620057,1.5727599995343617,2.2493148563689287,2.315233866226495,2.7253151173150205,2.865457036830574,3.3572537403720446,4.0691645316069796
SC1,1,T1,1SG1T1,70,9.99143741168417,14.422285219277068,1.4425653209670473,1.6741927179886906,2.52174447971434,2.625083307796516,2.7151786278266767,3.017849314147755,3.0841756239610247,3.474969663844597
SC1,1,T1,1SG1T1,71,8.981084744949705,12.111791179078674,0.99225616479004,1.3400119334467875,1.817923394118932,1.8189294443408894,2.52174447971434,2.624662930086821,2.8759326109834777,3.062119418749501
SC1,1,T1,1SG1T1,72,8.840365225260022,10.29932228730061,1.2056891878242684,1.5276058423335208,1.6150186464260607,1.817923394118932,2.256978655862714,2.5890600001609734,3.1678348920845347,3.24923488400328
SC1,1,T1,1SG1T1,73,11.22851693035343,7.972682985900721,1.201836384720486,1.3607469093007514,1.43387639347128,1.86246749412953,2.3085933012505793,2.321416270648447,2.75873159880155,3.334144418791591
SC1,1,T1,1SG1T1,74,14.177502172954318,6.235937018182638,1.2933738423212413,1.6954483194539243,1.7488052722768221,2.116080220103259,2.5389722634288643,3.237462394270602,3.3057057535943315,3.3924066976568112
SC1,1,T1,1SG1T1,75,15.865434223132434,6.076467905434625,1.4158384577577319,1.5950565598598936,1.6954483194539243,2.64169393168301,2.7086344191796097,2.8675113277654694,3.1928355890340083,3.3393266246614726
SC1,1,T1,1SG1T1,76,8.309143833691234,11.381676319388108,0.99225616479004,1.2056891878242684,1.7673660304457217,2.6345009224691855,2.7886254197863587,3.311419213922808,3.320385022103805,3.4541166151363276
SC1,1,T1,1SG1T1,77,18.732945197313253,6.075043891440689,1.3932026431680642,1.479142515129066,1.834576917703881,2.0031018555104887,2.8675113277654694,3.165836670488009,3.4618515712698743,3.5198500873280563
SC1,1,T1,1SG1T1,78,21.298286073748834,7.930184859641038,1.1632347955611646,1.3265480851620057,1.3809675186902146,1.6352962470610792,1.6973202526557487,2.7110455861936846,2.807761040006249,3.0515634011303705
SC1,1,T1,1SG1T1,79,19.42239705928953,21.716175492193155,1.058825787218169,1.2050289166433688,1.2844309878436342,1.7088416688002173,1.8535370055656504,2.1000594163028614,2.322443040466576,2.489571607191273
SC1,1,T1,1SG1T1,80,10.12186811299513,8.441446349099557,1.0318760509550522,1.201836384720486,2.104829462226504,2.2499353431250917,2.256978655862714,2.623094592573887,2.8981857419740864,3.4541166151363276
SC1,1,T2,1SG1T2,1,17.724827186165612,9.954678712201623,1.334408507062,1.969661764982452,2.1371574392239086,2.2369331794531724,2.324296466529843,2.637063179584612,3.2023538810948575,3.514339990755777
SC1,1,T2,1SG1T2,2,18.924557807957747,10.53888115900726,1.334408507062,1.3592783137802495,1.8453455658395503,2.291418130937257,2.48526138438562,2.634086155115276,2.8431118502952444,3.1336529488180473
SC1,1,T2,1SG1T2,3,18.901967691373176,14.714102880584514,1.3807115504283265,1.529650913588707,1.9842623962015529,2.582290679679419,2.6397768227147433,2.7092957551930903,2.9811641099873847,3.1466261524848527
SC1,1,T2,1SG1T2,4,15.269351048289296,8.9930451284282,1.283511465393475,1.3088676788525115,2.136474254479295,2.3229874070228558,2.637063179584612,2.6541682994184774,2.746668349599256,2.828047029723897
SC1,1,T2,1SG1T2,5,15.453515993256604,7.697198735606138,1.3088676788525115,1.5711575371785556,1.7825603561766081,1.8513529820513475,1.9625551046042424,2.2513769341275527,2.951983519426791,2.9751221386895907
SC1,1,T2,1SG1T2,6,13.985859085881824,9.000120736665014,1.0517174835102718,1.283511465393475,1.6345694021975643,1.9625551046042424,2.340131126685278,2.611218956997745,2.991368772930214,3.102687244734189
SC1,1,T2,1SG1T2,7,13.284678947408734,9.783993225359469,1.0517174835102718,1.726999134745758,1.9285420163616127,2.08062368826886,2.136474254479295,3.0097450679263478,3.2056225327292154,3.2721501176745624
SC1,1,T2,1SG1T2,8,17.297639432500645,7.860650884509552,1.1371810511795788,1.5165210342369104,1.8513529820513475,1.8802182428320622,2.1371574392239086,2.147374076681285,2.3229874070228558,2.9195203714118945
